english	chinese
"What's going on in the cave? I'm curious." "I have no idea."	“洞里发生了什么？我很好奇。”“我一点也不知道。”
The phone is ringing.	電話正在響。
The baby is sleeping.	宝宝正在睡觉。
This makes me happy.	這讓我開心。
I made a long journey last year.	我去年做了一次長途旅行。
Do you think animals have souls?	你认为动物有灵魂吗？
Don't you want to see what I have in my suitcase?	你不想看我的行李箱裡有什麼嗎？
The child will be six.	那孩子要六歲了。
This ticket is good for three days.	這張票的有效期是三天。
I do not love him any longer.	我已经不爱他了。
Tom and I weren't the ones who complained.	汤姆和我不是抱怨的人。
This song makes me homesick.	这首歌让我想家了。
Tom is drunk.	汤姆醉了。
You can use this computer any time.	你可以隨時使用這台電腦。
I have to get some sleep.	我必須睡一下覺。
We need to improve our customer service.	我們需要改進我們的客服業務。
Can you please shut up?	你可以閉嘴嗎？
Tom kept me waiting all afternoon.	Tom让我等了一下午
I am glad that you have succeeded.	我很高兴你们成功了。
Tom was sitting alone at one of the tables near the door.	湯姆獨自坐在門邊一個桌子旁。
Is Tom hurt?	汤姆受伤了吗？
She lives in a two-story house.	她住在一棟兩層樓的房子。
I don't think that Tom has any teaching experience.	我认为汤姆一点教学经验都没有。
Will you please lend me a stapler?	請你借給我一支訂書機好嗎？
What kind of a person is Tom?	汤姆是个什么样的人？
I'm crazy about you.	我为你着迷。
Tom deserves to be blamed.	汤姆应当被责备。
Let me go to the store.	让我去商店吧。
A caged cricket eats just as much as a free cricket.	籠子裡的蟋蟀吃得跟野生的蟋蟀一樣多。
You people can't help yourselves.	你們這些人辦不成了。
I brush my teeth twice a day.	我一天刷兩次牙。
Tomorrow, he will land on the moon.	明天他会在月球降落。
Could you sign here?	你能在这里签名吗?
You're lying, aren't you?	在撒谎吧？
Tom is very kind.	汤姆人很好。
What's done is done.	事已至此。
I don't think Tom trusts many people.	我不認為湯姆相信許多人。
Let me handle this.	讓我來處理。
I've always been proud of you.	我一直以您为荣。
Prices depend on supply and demand.	價格取決於供給和需求。
I asked Tom what he was reading.	我问了汤姆在读什么。
Lock the gate.	鎖大門。
She's in the bath.	她在浴室。
Tom stopped working.	湯姆停止工作。
What in the world are you getting at?	你到底想暗示什么？
My neck hurts.	我脖子痛。
You can park here.	这里可以停车。
Please sing a song.	請唱一首歌。
I'm staying at the Hilton Hotel.	我住在希爾頓賓館。
I feel no sympathy for Tom.	我不同情湯姆。
Where do you live?	您住在哪里？
I want to move out of this cramped room as soon as I can.	我想尽快从这个不透气的屋子里出去。
You have too many books on the shelf.	你書架上的書太多了。
She advised him on that matter.	她就那件事给他提出建议。
Please feed the dog every day.	请每天喂一下狗。
They had started earlier than we had.	他们比我们先开始。
That's really nice.	真好。
How about going out tonight?	今晚出去怎么样？
You have to come home for Christmas.	你一定要回家過聖誕節啊。
Step inside.	进来。
Please be quiet, everybody.	请大家都保持安静。
They guaranteed regular employment to their workers.	他們對他們的員工保證就業。
I never should've let Tom eat so much candy.	我不論甚麼時候都不該讓湯姆吃那麼多糖。
She is married to an American.	她嫁給了美國人。
He gets a haircut three times a month.	他一个月剪三次头发。
We depend on you.	我们可全靠你了。
He was jealous of my success.	他嫉妒我的成功。
Who told you the story?	誰告訴你這個故事？
I think he is something of a poet.	我觉得他有几分像个诗人。
Tom donates half his salary to his favorite charity.	汤姆捐一半他的薪水给他最喜欢的慈善机构。
Whose is this?	这是谁的？
There's no mistake.	没有错误。
It goes without saying that health is important.	不用说，健康是重要的。
I can't go with you because I'm very busy.	我不能和你们一起去，因为我很忙。
Tom needs to get into shape.	Tom需要让身体好起来。
There is a village over the mountain.	在山巔上有一個村莊。
The child had no overcoat on although it was very cold.	尽管天气很冷，孩子却没有大衣穿。
I'm famished.	我肚子饿极了。
Everyone was okay.	大家都还行。
All horses are animals, but not all animals are horses.	所有的马都是动物，但并非所有的动物都是马。
I need to exercise more often.	我需要更经常地锻炼。
I am sorry. I am not from here.	抱歉，我不是本地人。
This is just between you and me.	这只是我们之间的秘密。
To distinguish right from wrong is difficult.	要分清是非是困難的。
Tom doesn't like to use the term "a person of color" because he thinks it implies that white people have no color.	汤姆不喜欢使用”有色人种“这个术语，因为他认为，根据这种说法白种人没有颜色。
Tom gave me something to read.	汤姆给了我一些东西读。
She walked very carefully.	她小心翼翼地走。
Tom is the tallest in his class.	湯姆是班上最高的。
The game starts 2:30.	比賽在 2:30 開始。
You're partially correct.	你對了一部分。
Would you please tell me a little about Tom?	你能告诉我一点关于汤姆的事吗？
I want to ask what his phone number is.	我想問他要電話號碼。
They demanded the king be put to death at once.	他们要求马上把国王处死。
I wish I could go to the party with you.	我希望我能和你一起参加派对。
Are we done?	我们完成了吗？
Tom is my older brother.	Tom是我哥哥。
His hobby is painting pictures of flowers.	他的爱好是画有花的图。
I've been looking for a new job for a long time.	我已经找了很久的工作。
I just couldn't say no.	我就是不能說不。
I'm a bachelor.	我单身。
The train arrived on time.	火车准时到了。
Nothing is worse than war.	没有什么比战争更糟的了。
I don't care a bit about the future.	我不在乎将来。
I will be free tomorrow afternoon.	我明天下午有空。
The more, the better.	數大便是美。
Tom is meeting Mary this afternoon.	汤姆今天下午将会见玛丽。
Those flowers have died.	那些花死了。
Don't you play tennis?	您不打网球吗？
Everyone knows Bell invented the telephone.	任何人都知道贝尔发明了电话。
We grow vegetables in our garden.	我們在我們的花園裡種蔬菜。
Are you making fun of me?	你在嘲笑我吗？
You're smart.	你很聰明。
Tom went to Boston to buy a painting.	湯姆去波士頓買一幅畫。
I'll bring you the bill immediately.	我马上把帐单拿给您。
We enjoyed watching the TV.	我們喜歡看電視。
Don't worry.	别擔心。
She was amazed to hear the news.	她听到那个消息后惊呆了。
I found the new magazine very interesting.	我發現這本新雜誌非常有趣。
He answered my question with a "no."	他用一個＂不＂回答了我的問題。
Remove the battery.	卸下電池。
Anyone can do that.	任何人都可以做到。
There are seven continents on the earth.	地球上有七大洲。
The price of coffee has doubled since then.	從此，咖啡的價格翻倍。
Yesterday was cloudy.	昨天是多雲。
Do you want to learn French?	您想学法语吗？
I'll do my best not to disturb your studying.	我会尽量不打扰你复习。
We'll be late if we don't hurry.	再不快点就迟到了噢。
Bring him to me.	把他给我带过来。
I understand everything you said.	我理解你所说的一切。
It's very warm today.	今天很热。
Tom makes about thirty dollars an hour.	汤姆时薪大约三十美元。
Would you like chickpeas?	你想吃鹰嘴豆吗？
I haven't changed.	我没改变。
I know what must be done.	我知道什么事必须要做的。
You're free to go.	您可以走了。
The American flag has fifty stars.	美国国旗有五十颗星。
The path zigzagged up the steep slope.	這條小路沿著陡峭的斜坡蜿蜒而上。
She played a waltz on the piano.	她在鋼琴上彈了一首華爾滋舞曲。
Will you go by train?	你坐火车去吗？
Where did you find my umbrella?	你们在哪找到我的雨伞的？
Most boys like computer games.	大多数男生喜欢电脑游戏。
It is said the house is haunted.	据说这房子是个鬼屋。
I was expecting you last night.	昨天晚上我等著你來。
The gardener turned out to be the murderer.	园丁后来发现就是凶手。
He gave me a nice Christmas present.	他给了我一个很棒的圣诞礼物。
Will you all be here tomorrow?	明天你一整天都會在這裡嗎?
There's nothing that can be done.	没办法。
Whose fault is it?	是誰的錯呢？
Please buy a tube of toothpaste.	請買一支牙膏。
He earned his living as a teacher.	他以當老師為生。
We're pretty well known around town.	我们在镇子这片很有名气。
I always have to wear a tie because of my job.	因為我這份工作的緣故，我總是要打領帶。
Someone tapped me on the shoulder.	有人拍了拍我的肩膀。
I hid under the table.	我藏在桌子底下。
Tom didn't know what he'd say to Mary.	湯姆不知道他要對瑪麗說甚麼。
Tom didn't get much sleep.	汤姆没怎么睡。
You must not stay in bed.	你不能待在床上。
My wife and children depend on me.	我的老婆孩子都依靠我。
I have to change into my work clothes.	我得换工服了。
You need to redecorate your room.	你需要装修你的房间。
If only the rain would stop.	要是雨停了该多好！
Tom handed the envelope full of cash to Mary.	汤姆把装满现金的信封递给玛丽。
Is there someone who could help me?	有誰可以幫我嗎？
You're really useless.	你真沒用。
There is a television in this room.	这个房间里有个电视机。
I can't go.	我不能走。
I don't know right now.	我现在不知道。
It is by no means certain.	这根本不是确定的。
Who's in charge of this section?	谁负责这个部门？
Is there anything else you want?	还有什么想要的吗？
Something is wrong with my watch.	我的手錶壞了。
It's really hot here in the summer.	这里夏天非常热。
Not everyone noticed.	不是每个人都意识到这点。
Today is my birthday.	今天是我生日。
Fashion is not my specialty.	时装不是我的天分。
Search the house.	搜查房子。
Are you for or against the plan?	你赞成还是反对这个计划？
You're in trouble now.	你有麻烦了。
Look at me with your books closed.	把你的書閤起來看著我。
Is this book yours?	這是你的書嗎？
She is just as beautiful as her mother.	她跟她媽媽一樣漂亮。
We have to pull the weeds.	我們必須拔除雜草。
If it rains tonight, I'm not going to go out.	如果今晚下雨, 我就不出去。
When I hear that song, I remember my younger days.	每次听到这首歌，都会让我回忆起自己年轻的时候。
Tom thanked me for the gift.	湯姆為這個禮物感謝我。
Few students could understand what he said.	很少有學生能了解他說的話。
I'm really concerned about your future.	我真的很關心你的未來。
I'm glad to see you back.	很高兴再见到你。
There was a cottage on the side of the hill.	山坡上有一间小屋。
Wash the dishes.	把盤子洗了。
Let's get together again!	讓我們再聚在一起!
I'll be on duty this Sunday.	我在本周日上班。
The weather was so cold that the lake froze over.	天冷得足以让湖结冰。
Tom spent all afternoon in the kitchen, cooking.	湯姆整個下午都待在廚房裡做菜。
In her opinion, he is the best musician she has ever seen.	她認為他是她所見過最好的音樂家。
Buy me a snack.	帮我买点零食吧。
That girl is good-looking.	那個女孩長得很好看。
Can anyone drive?	有人会开车吗？
Has the mailman already come?	郵差已經來過了嗎？
According to the weather forecast, the rainy season will set in next week.	根据天气预报，雨季下周会开始。
It sure is windy.	風真大。
Mary doesn't usually wear jewelry.	玛丽通常不戴首饰。
My father's a doctor.	我父亲是个大夫。
Call us.	联系我们。
I can't stand that noise.	我不能忍受那個噪音。
Let's begin with the first chapter.	從第一章開始吧。
Do you think we should send for the doctor?	你認為我們應該派人去請醫生來嗎?
Don't you remember what you said?	自己说过的话都不记得了吗？
Many people envy Tom's success.	许多人嫉妒汤姆的成功。
Are there any messages for me?	有任何給我的訊息嗎？
If you buy me an ice cream, I'll give you a kiss.	如果你買給我冰淇淋，我就親你一下。
How is the weather there?	那里的天气怎么样？
The recent shortage of coffee has given rise to a lot of problems.	最近的咖啡短缺带来了许多问题。
He graduated from Harvard University with honors.	他光榮地從哈佛大學畢業了。
Tom isn't here yet, but we expect him soon.	湯姆還不在這裡，但我們期待他很快就來。
I think that it's true.	我認為這是真的。
I'm vegetarian.	我是素食主义者。
They can't see me.	他們看不見我。
I have hiccups.	我打嗝了。
Fasten your seat belts.	繫上安全帶。
Is Tom really a nice guy?	汤姆是个好人吗？
Tom told Mary he couldn't do what she asked him to do.	汤姆告诉玛丽他不能做她要他做的事。
He was sleeping under the tree.	他在樹下睡覺。
Is Tom helping Mary?	汤姆在帮玛丽吗？
Who said that to you?	是谁给你说那个的呢？
Their father is a taxi driver.	他們的父親是一個計程車司機。
Tom wanted to see Mary.	湯姆想見瑪麗。
Is Tom in a lot of trouble?	汤姆是不是麻烦事很多？
It takes time to develop political awareness.	培养政治意识要花费时间。
We'll be here for three more days.	我們還要在這里待三天。
When will it be convenient for you?	什麼時候對你來說是方便的？
We may need some.	我們可能需要一些。
A fork fell off the table.	叉子从桌上掉了下来。
Have you already eaten supper?	你已经吃晚饭了吗？
I don't know what I'd do without you.	我不知道如果沒了你我還能做什麼。
Tom can do so much better than me.	湯姆可以比我做得好很多。
Do you plan to do that with Tom?	你打算跟湯姆一起做那件事嗎？
Their customer service is poor.	他們的客服很差。
Remember that I outrank you.	记住我的级别在你的之上。
Did you plan to eat all of that yourself?	你打算自己一人把它全部吃了吗？
You haven't changed at all.	你一点都没变。
Tom hid his money under his mattress.	湯姆把錢藏在床墊底下。
May I have a napkin, please?	請給我一張餐巾紙好嗎？
Tom says he feels a little better.	汤姆说他感觉好点了。
What are you driving at?	您在暗示什么？
It's really bad for your eyes.	它对你的眼睛有害。
Let's go by bus.	讓我們坐公共汽車去。
There's too much salt in this soup.	这汤里盐放多了。
The argument ended in a fight.	讨论最后变成了打架。
Which cup is yours?	哪个是你的杯子？
Mary was in high heels.	瑪莉穿著高跟鞋。
I go to bed after I study.	我讀完書之後就去睡覺。
How high can you jump?	您能跳多高？
No, this isn't my car.	不是，這不是我的車。
Let's hope she comes.	讓我們祈盼她會來。
Tom waved.	汤姆挥手了。
French is easy.	法语很简单。
Don't get involved with that guy.	別和這個人打交道。
I have a little money.	我有一些錢。
I wish I were rich.	但願我很有錢。
He was walking up the hill at a steady pace.	他迈着稳健的步伐登上了山丘。
He is able to speak five languages.	他會說五種語言。
Christmas was my favorite holiday when I was a kid.	我小時候，最喜歡的節日是聖誕節。
The check will be certified.	我們會認證支票。
No one listened to me.	沒有人聽我的。
The house isn't occupied now.	房子现在没被占住。
I am very ill at ease with strangers.	我面对陌生人很不自在。
Did you hear your name called?	你聽見有人叫你的名字嗎？
She went there yesterday.	她昨天去那裡。
He threw a stone at the dog.	他朝着狗扔了块石头。
Is this ladder strong enough to bear my weight?	这个梯子是否足够坚固以承受我的重量？
What happened on the bus?	公共汽车上发生什么了？
I'm working too much.	我工作得太多了。
I don't want to buy a newspaper today.	我今天不想买报纸。
What did Tom smell?	湯姆聞到了什麼？
She may have missed the 7:00 train.	她可能錯過了七點的火車。
He comes from England.	他来自英格兰。
You should be able to do that.	你應該能做到那件事。
Your watch is more expensive than mine.	你的手表比我的贵。
The man reading a paper over there is my uncle.	在那儿看报纸的男人是我叔叔。
You may not remember me, but I remember you.	或許你不記得我了，但是我記得你。
I don't think she cares very much.	我不认为她很在意。
I belong to a tennis club.	我是网球俱乐部的会员。
Do you have a pencil?	你有鉛筆嗎？
You have been duped.	您被骗了。
Do as you like.	你想怎么做就怎么做。
That's an interesting piece of information.	这是条有趣的信息。
She works with single-minded determination.	她一心一意地工作。
She's about the same height as you.	她大概跟你一樣高。
I like this picture, not just because it's famous, but because it really is a masterpiece.	我喜欢这幅画，不仅是因为它的名气，而是因为它真的是一个杰作。
Close the door, please.	請關上門。
She's eating an apple.	她正吃著一個蘋果。
Life is fun.	人生是有趣的。
See you around.	再见！
Why did they turn down your proposal?	他們為什麼否決了你的建議呢？
He offered his help to us.	他向我們提供了幫助。
I think Tom is optimistic.	我認為湯姆樂觀。
The old man is very kind.	這位老人家非常仁慈。
Maybe he won't become famous.	也許他不會成名。
He is unsociable.	他太不合群。
Mary showed the letter to me.	瑪麗給我看了這封信。
Those flowers have died.	那些花已經枯死了。
I haven't smoked for ages.	我很久没有抽烟了。
I kept on singing.	我繼續唱歌。
I'm impatient.	我是个急性子。
I've dealt with this store for years.	我数年来都和这家商店做生意。
He drinks too much beer.	他喝太多啤酒。
We climbed the mountain last year.	我們去年爬上了這座山。
This medicine will decrease your pain.	这种药会减轻你的疼痛。
Respect for law is fundamental to our society.	尊重法律是我們社會的基礎。
They were so young.	他們那麼年輕。
My mother boiled ten eggs.	妈妈煮了十只蛋。
I had curry last night.	我昨晚吃了咖喱。
I'll have to think about it.	我将考虑考虑。
He stayed there a couple of days.	他在那裡待了幾天。
Come on, hurry up.	来吧，快一点。
I don't like sad movies.	我不喜欢悲伤的电影。
She was susceptible to colds.	她易患感冒。
We've been here before.	这里我们以前来过。
I suppose he will be back soon.	我想他会很快回来的。
Are you carrying a lot of money?	你身上有很多钱吗？
The lion is the king of the beasts.	狮子是万兽之王。
She put clean sheets on the bed.	她把乾淨的床單鋪在床上。
No other mountain in the world is as tall as Mt. Everest.	世界上任何山峰都达不到珠穆朗瑪峰的高度。
I don't care all that much.	我不那么在意。
I met him at the barber's.	我在理发店碰到了他。
It's already time to go home.	已经是时候回去了。
You can buy stamps at any post office.	你在任何一家邮局都能买到邮票。
He spoke for one hour.	他讲了一小时。
Tom is only pretending he's not interested.	汤姆只是在装没兴趣。
Cut the meat into strips.	將肉切成條狀。
He's watching the Olympics.	他在看奥运会。
Both his father and mother are dead.	他的父母親都去世了。
She gets up late on Sunday mornings.	她每週日早上很晚起床。
Can I borrow your pencil for a bit?	我能用一下你的铅笔吗？
Tom got ripped off.	汤姆被宰了。
Who likes beans?	谁喜欢豆子？
Brasilia is the capital of Brazil.	巴西利亞是巴西首都。
He has at least one thousand books.	他至少有一千本書。
Tom began laughing.	湯姆開始笑了。
Many workers were trapped in the coal mine.	有很多工人被困在煤矿里了。
I received a letter three months later.	我在三個月後收到了一封信。
This is your dog.	这是你的狗。
You should know it.	你應該知道的。
She will be a famous artist in the future.	她将来会是一个有名的艺术家。
Problems that can be solved with money are not real problems.	錢可以解決的問題都不是問題。
I have to speak with you immediately.	我必须马上和你说话。
I wrote a letter.	我写了一封信。
Tom needs to speak to Mary.	湯姆需要跟瑪麗說話。
Please bring us two cups of tea and one cup of coffee.	请来两杯茶和一杯咖啡。
Tom knows I want to leave as soon as possible.	湯姆知道我想盡早離開。
I waited an hour for my friend.	我等我的一个朋友等了一小时。
Why are pigs so fat?	豬為什麼都那麼肥？
Tom doesn't pay much attention to how he dresses.	Tom没有花费精力去打扮自己。
Tom, we have to talk.	汤姆，我们必须谈谈。
We had an unpleasant experience there.	我們在那裡有一個不愉快的經歷。
It can't be true.	那不可能是真的。
Fill in your name and address.	填上你的姓名和地址。
Tom won't even know what you did until it's over.	汤姆不到最后不会知道你做了什么。
It almost worked.	差點就成功了。
His request is as follows.	他的要求如下。
She studied abroad in order to brush up her English.	她在國外學習以便提升她的英語。
You seem like a very smart person.	你看起来像一个聪明人。
I had a slight headache last night.	我昨晚有輕微的頭痛。
I still don't think I'm wrong.	我還是不認為我錯了。
He went to New York on business.	他去紐約出差了。
Fresh food is wonderful.	新鮮的食物最棒了。
He threw a stone into the pond.	他扔了一塊石頭到池塘裡。
He has been sick since last night.	他從昨晚開始就生病了。
What you say makes no sense.	你說的話沒有道理。
Do you want something to drink?	你想喝點什麼嗎？
How high can you jump?	你能跳多高？
Tom didn't notice that Mary had a new hairstyle.	湯姆沒注意到瑪莉換了新髮型。
Tom also has one.	汤姆也有一个。
I saw a cat running after the dog.	我见一只猫追着狗跑。
I can't distinguish him from his brother.	我分不清他和他的弟弟。
Are they cute?	他們可愛嗎 ？
Tom turned around and started to run.	湯姆轉身開始跑。
I don't think that Tom eats pork.	我認為湯姆不吃豬肉。
You must take his age into account.	你该考虑他的年纪。
Let's talk about this tomorrow.	我们来讨论下明天吧。
It's fun to learn slang words in foreign languages.	学习外语里的俚语很有趣。
He was alone there.	他獨自在那裡。
We have a stock of toilet paper.	我們還有衛生紙。
Do you know the reason why he cut class today?	你知道为什么他今天逃课了吗？
"Did he write a letter yesterday?" "Yes, he did."	"他昨天寫了一封信嗎?" "是的, 他寫了。"
That cloud looks like a rabbit to me.	那朵云对我来说像一只兔子。
Have you eaten lunch?	你吃過午飯了嗎？
Who decided that?	誰決定了那件事？
The skies are clear.	天空很晴朗。
What are you driving at?	你想暗示什么？
May comes after April.	四月之后是五月。
She looked well when I last saw her.	上次我见到她的时候，她看上去挺好的。
I get the feeling you're trying to tell me something.	我感觉你想告诉我什么事。
You don't have to work on Sundays.	你週日不必工作。
You're such a brat.	你个小屁孩。
We'll begin tomorrow morning.	我們明天上午開始。
Do you believe in God?	你相信上帝吗？
She lost her way and on top of that it began to rain.	她迷路了，紧接着天开始下雨了。
Tom climbed all the way to the top of the mountain.	湯姆一路爬到了山頂。
The crane, unlike the dog, has never dreamed of flying.	不像狗, 這隻鶴從來沒有夢想過飛翔。
She saw herself in the mirror.	她看到鏡子裡的自己。
Do you think Tom will let us do that?	你認為湯姆會讓我們做嗎？
Let's play tennis this afternoon.	讓我們今天下午打網球。
That could be too late.	那可能太晚了。
The airport is close by.	機場很近。
Do you want anything to eat?	你想要吃任何東西嗎?
India gained independence from Britain in 1947.	印度於1947年脫離英國獲得獨立。
The island is a paradise for children.	这个岛是孩子们的天堂。
What's the idea behind that?	那背后是什么意思？
I'd really like to learn French, too.	我也很想要学法语。
I don't mind lending you the money provided you pay it back within a month.	假如能一个月之内还上的话，我可以把钱借给你。
Is there a cat on the table?	桌子上有只猫吗？
He objected to our plan.	他反對我們的計劃。
Tom is not as old as you.	湯姆年齡沒你大。
I can win this time.	我這回能贏。
Are they brothers?	他们是兄弟吗？
She is at work right now.	她现在正在工作。
We think Tom will be back soon.	我們認為湯姆會很快回來。
No one knows.	沒有人知道。
Were you able to do it?	你有能力去做这个吗？
I'd better do it right now.	我這就該做。
America is very big.	美洲很大。
He is too drunk to drive home.	他喝酒醉得無法開車回家。
Tom will probably never be late again.	湯姆可能再也不遲到了。
Maybe you'd better come with us.	也許你最好和我們一起來。
You need to be aggressive.	你需要更有进取心。
Oh, if I can go, I will.	我若能來就會來。
My father helped me with my homework.	我爸爸幫我做作業。
I know very little about Tom.	我对汤姆知道得很少。
Will you take part in the ceremony?	你會參加這個儀式嗎?
She came home very late.	她很晚回家。
They should all be fired.	他們全部都應該被開除。
I plan on going there.	我打算去那裡。
I don't think it's a good idea.	我觉得这主意不行。
How about going to a movie?	去看電影怎樣？
I'm daydreaming.	我在做白日夢。
We go to the same school.	我們上同一所學校。
You must choose.	你必須做選擇。
It is important for old people to stay strong.	老人保持强健很重要。
Tom and Mary have a daughter and a son.	Tom和Mary有個女兒和兒子。
He kicked the ball.	他踢了那顆球。
He has been to London three times.	他去過倫敦三次。
She graduated from high school last year.	去年她從高中畢業了。
They know how to make an atomic bomb.	他们知道如何制造原子弹。
What's the difference between astronomy and astrology?	「astronomy」和「astrology」有什麼區別？
I'll call you tomorrow morning.	明天早上我會打電話給你。
Tom tried to convince Mary to knit him a scarf.	湯姆想說服瑪麗給他織一條圍巾。
Mary hugged her doll.	Mary擁抱她的娃娃。
It seems that the only time he isn't eating is when he's sleeping.	看来他只有在睡觉时不吃东西。
It was raining when we left, but by the time we arrived, it was sunny.	我们走的时候下着雨，到的时候有太阳。
He bought his daughter a new dress.	他買了新衣服給他的女兒。
Tom doesn't even talk to Mary anymore.	汤姆甚至不和玛丽说话了。
The police officers arrested the burglar.	警察拘捕了這個竊賊。
You'd better take an umbrella with you in case it rains.	以防下雨你最好带把伞。
Take the first street to the right.	第一條街右轉。
Tom is by far the tallest boy in our class.	汤姆远比我们班其他男孩高。
Tom is a hick.	汤姆是个乡巴佬。
I don't care for eggs.	我不喜欢鸡蛋。
Do I have to take this medicine?	我必須吃這個藥嗎？
Mary, I love you.	玛丽，我喜欢你！
Tom wants to know what we're doing here.	湯姆想知道我們在這裡做什麼。
There's a basket under the table.	桌子底下有一個籃子。
Who told you that?	是谁给你说那个的呢？
I always keep my promises.	我總是信守我的承諾。
Show me another example.	再给我举个例子。
We're birds of a feather.	咱俩是一丘之貉。
He confessed to the murder.	他供认了杀人的罪行。
I recorded our conversation.	我录下了我们的谈话。
Is it about ten o'clock?	大約十點鐘嗎？
She has a dog and six cats.	她有一只狗和六只猫。
I don't worry so much about my resume.	我對自己的履歷不那麼在意。
That movie is for children.	那部電影是給小孩看的。
He pretended not to be listening.	他裝作沒在聽。
Tom was a little drunk.	汤姆有点醉。
My favorite sport is baseball.	我最喜歡的運動是棒球。
He was appointed ambassador to Britain.	他被任命為駐英國大使。
I caught five fish yesterday.	我昨天釣了五條魚。
I won't be long.	不會花很多時間的。
Would you care for something to drink?	你想喝點什麼嗎？
First we'll eat, and then we'll go.	我们先吃饭，然后再走。
He likes to read newspapers.	他喜欢看报纸。
Tom wrote two books.	湯姆寫了兩本書。
Put in a little more sugar.	多放一點糖。
It's unfortunately true.	可惜这是真的。
Tom vanished.	汤姆不见了。
He found me a taxi.	他帮我打到一辆出租车。
I've lived here since I was a boy.	我还是一个小男孩的时候就住在这里。
Can you put some suntan lotion on my back?	你能在我的背上涂些防晒霜吗？
I'm too drunk to do that.	我喝醉了，做不到。
Please come back as soon as possible.	请尽快回来。
The population of Japan is larger than that of Britain.	日本的人口比英国多。
I want to live here.	我想住在这里。
I wish to be a doctor.	我希望成为医生。
I used to swim in this river.	我以前在這條河裡游泳。
He betrayed her secret to his friends.	他把她的秘密告诉了他的朋友。
Finishing the report by tomorrow is next to impossible.	在明天前完成报告几乎是不可能的。
He stayed at his aunt's house.	他住在他舅妈家。
They ruined my life.	他們把我的好日子毀了。
I'd rather die than surrender.	我寧死不降。
Studying abroad is very common now.	現在出國留學是很常見的了。
This magazine comes out every month.	该杂志每月出版。
He lied to us.	他欺騙了我們。
Tom and I were business partners.	Tom跟我是商業夥伴。
There is a long wait between trains.	在火车的间隔中有漫长的等待。
Tom asked Mary where her mother was.	湯姆問瑪麗她媽在哪。
I am here on business.	我在這裡出差。
I was in school yesterday morning.	昨天上午我在學校。
